InternshipID,Title,Description,Level,PreferredMajor,ApplicationOpenDate,ApplicationCloseDate,Status,CompanyName,CompanyRep,NumSlots
I1001,Software Engineering Intern,Work with the product engineering squad on feature delivery,BASIC,CS,01 10 2025,15 11 2025,APPROVED,TechNova Labs,alice@technova.com,5
I1002,Embedded Systems Trainee,Assist with firmware validation for IoT devices,INTERMEDIATE,CE,15 09 2025,31 10 2025,PENDING,SmartEdge Solutions,bob@smartedge.com,3
I1003,Data Analytics Associate,Build dashboards and run exploratory analysis for marketing,ADVANCED,DSAI,20 08 2025,30 09 2025,APPROVED,Insight Dynamics,carol@insightdynamics.com,4
I5816,internship,internship,BASIC,DSAI,27 10 2025,31 10 2025,PENDING,Test,test@nox.com,10
I6661,1,1,BASIC,DSAI,27 10 2025,31 12 2025,PENDING,Test,test@nox.com,10
I5150,internship cs1,cs1,BASIC,CS,27 10 2025,31 12 2025,APPROVED,Test,test@nox.com,10
I9606,internship cs2,cs2,ADVANCED,CS,27 10 2025,31 12 2025,APPROVED,Test,test@nox.com,10
I6842,1,1,BASIC,DSAI,27 10 2025,31 12 2025,PENDING,Test,test@nox.com,10
I6870,1,1,BASIC,CE,01 11 2025,31 12 2025,PENDING,Test,test@nox.com,10
I3621,Intern,Intern,BASIC,COMP,01 11 2025,31 12 2025,APPROVED,NCS Pte Ltd,hr@ncs.com.sg,10
I5517,intern22,intern22,BASIC,COMP,02 12 2025,30 12 2025,PENDING,NCS Pte Ltd,hr@ncs.com.sg,10
I2895,intern3,intern3,ADVANCED,CE,01 12 2025,31 12 2025,PENDING,NCS Pte Ltd,hr@ncs.com.sg,10
I5240,intern4,intern4,BASIC,IEM,01 12 2025,31 12 2025,PENDING,NCS Pte Ltd,hr@ncs.com.sg,10
I2858,test7,test7,ADVANCED,CS,12 01 2025,13 12 2025,APPROVED,test7,test7,3
